,NumDots,UrlLength,NumDash,AtSymbol,IpAddress,HttpsInHostname,PathLevel,PathLength,NumNumericChars,Phising
0,3,72,0,0,0,0,5,44,0,1.0
1,3,144,0,0,0,0,3,16,41,1.0
2,3,58,0,0,0,0,2,24,0,1.0
3,3,79,1,0,0,0,6,50,0,1.0
4,3,46,0,0,0,0,4,29,2,1.0
5,3,42,1,0,0,0,1,12,0,1.0
6,2,60,0,0,0,0,5,36,1,1.0
7,1,30,0,0,0,0,3,11,3,1.0
8,8,76,1,0,0,0,2,4,2,1.0
9,2,46,0,0,0,0,2,25,0,1.0
10,5,64,1,0,0,0,2,4,3,1.0
11,2,47,0,0,0,0,2,18,1,1.0
12,2,61,1,0,0,0,2,10,0,1.0
13,2,35,0,0,0,0,3,12,0,1.0
14,2,60,1,0,0,0,2,10,0,1.0
15,3,73,0,0,0,0,4,33,0,1.0
16,3,50,0,0,1,0,5,30,10,1.0
17,3,59,1,0,0,0,2,16,7,1.0
18,2,28,0,0,0,0,3,12,1,1.0
19,1,59,0,0,0,0,4,40,22,1.0
20,1,32,0,0,0,0,4,14,4,1.0
21,5,52,0,0,0,0,2,20,1,1.0
22,2,62,1,0,0,0,6,37,0,1.0
23,1,105,2,0,0,0,10,87,24,1.0
24,4,55,0,0,0,0,2,17,0,1.0
25,5,134,3,0,0,0,3,56,1,1.0
26,2,43,0,0,0,0,3,22,0,1.0
27,6,210,2,0,0,0,3,54,24,1.0
28,2,135,2,0,0,0,7,51,1,1.0
29,5,85,0,0,0,0,6,69,0,1.0
30,2,80,0,0,0,0,3,41,17,1.0
31,2,44,0,0,0,0,2,18,4,1.0
32,3,95,0,0,0,0,9,78,16,1.0
33,2,60,1,0,0,0,6,38,0,1.0
34,2,60,0,0,0,0,5,41,0,1.0
35,6,100,1,0,0,0,2,18,8,1.0
36,6,111,1,0,0,0,2,18,18,1.0
37,2,29,0,0,0,0,2,6,0,1.0
38,2,37,2,0,0,0,2,6,0,1.0
39,3,49,2,0,0,0,2,18,0,1.0
40,1,34,0,0,0,0,3,13,0,1.0
41,3,53,1,0,0,0,3,24,0,1.0
42,2,45,0,0,0,0,3,24,0,1.0
43,3,65,0,0,0,0,5,42,0,1.0
44,5,182,0,0,0,0,2,37,75,1.0
45,3,47,0,0,0,0,2,21,0,1.0
46,4,55,0,0,0,0,3,32,0,1.0
47,2,62,0,0,0,0,4,42,0,1.0
48,2,59,1,0,0,0,5,34,0,1.0
49,3,39,0,0,0,0,2,14,0,1.0
50,2,41,0,0,0,0,5,23,1,1.0
51,2,142,0,0,0,0,3,121,5,1.0
52,2,29,0,0,0,0,2,5,0,1.0
53,4,51,1,0,0,0,3,28,0,1.0
54,3,39,0,0,0,0,2,17,0,1.0
55,3,48,0,0,0,0,2,17,0,1.0
